Class,CPU Time (%)
xRateDistOptQuant,26.949
codeCoeffNxN,8.638
xIntraCodingTUBlock,3.756
getSigCtxInc,3.568
"filter<(int)8, (bool)1, (bool)0, (bool)1>",2.628
"filter<(int)8, (bool)0, (bool)1, (bool)0>",2.253
xPredIntraAng,2.066
estIntraPredLumaQT,2.065
xWriteCoefRemainExGolomb,2.065
encodeBin,1.878
xEstimateInterResidualQT,1.69
codeLastSignificantXY,1.503
xGetSSE8,1.502
initIntraPatternChType,1.127
xGetSSE4,1.127
xGetSSE64,1.127
xITransformSkip,0.939
useDST,0.939
xIT,0.939
estBit,0.939
xPatternSearch,0.939
getPULeft,0.938
setAllMvd,0.564
xGetHADs,0.564
initEstData,0.564
resetBits,0.564
xDeQuant,0.563
xCalcHADs4x4,0.563
estLastSignificantPositionBit,0.563
copyPartToPartComponentMxN,0.563
getTEncBinCABAC,0.563
invRdpcmNxN,0.563
getCoefScanIdx,0.563
subtract,0.376
xGetSSE16,0.376
offsetBlock,0.376
codeTransformSubdivFlag,0.376
codeIntraDirLumaAng,0.376
estSignificantMapBit,0.376
xCheckRDCostMerge2Nx2N,0.376
xGetExpGolombNumberOfBits,0.376
xEdgeFilterLuma,0.376
setDistParam,0.376
"filter<(int)4, (bool)0, (bool)1, (bool)0>",0.376
copyState,0.376
encodeCoeffNxN,0.376
xEncodeInterResidualQT,0.376
nextSection,0.376
xRecurIntraCodingLumaQT,0.376
xEncodeTransform,0.376
xGetSAD4,0.376
xTransformSkip,0.376
"filter<(int)4, (bool)1, (bool)0, (bool)1>",0.376
getQuadtreeTULog2MinSizeInCU,0.376
addClip,0.376
xGetSAD8,0.376
getDistPart,0.376
xPredInterUni,0.376
codeQtCbf,0.376
calcPatternSigCtx,0.376
