Class,CPU Time (%)
getSigCtxInc,38.845
xDeQuant,34.224
xTransformSkip,33.935
xITransformSkip,33.935
transformNxN,33.935
getSigCoeffGroupCtxInc,33.791
invRdpcmNxN,33.791
TComTrQuant,33.502
estBit,9.602
xWriteCoefRemainExGolomb,9.24
codeQtCbf,8.519
estLastSignificantPositionBit,8.23
loadIntraDirMode,8.23
load,8.23
codeLastSignificantXY,8.086
codeIntraDirLumaAng,8.085
TEncSbac,7.797
filterCopy,3.755
motionCompensation,3.466
"filter<(int)8, (bool)1, (bool)0, (bool)1>",3.033
predIntraAng,2.962
xPredInterUni,2.888
TComPrediction,2.599
xIntraCodingTUBlock,2.455
filterVer,2.455
"filter<(int)4, (bool)0, (bool)1, (bool)0>",2.455
xEncCoeffQT,2.167
xGetHADs,2.166
xPatternSearch,2.023
TComInterpolationFilter,2.022
xGetSAD8,2.022
xLoadIntraResultQT,2.022
xCalcHADs4x4,2.022
xGetSSE16,2.021
getNumWrittenBits,1.878
xSetInterResidualQTData,1.878
xGetSSE4,1.877
encodeBinsEP,1.733
xGetExpGolombNumberOfBits,1.733
xGetSSE32,1.733
getDistPart,1.732
copyToPicComponent,1.589
subtract,1.589
getAddr,1.589
estIntraPredLumaQT,1.589
xGetIntraBitsQT,1.589
xPatternRefinement,1.589
estIntraPredChromaQT,1.589
resetBits,1.588
addClip,1.588
TEncSearch,1.3
TComRdCost,1.3
isLosslessCoded,1.3
setCrossComponentPredictionAlphaPartRange,1.3
getPUBelowLeft,1.3
getQuadtreeTULog2MinSizeInCU,1.3
getIntraDirPredictor,1.3
getPUAboveRight,1.299
TComYuv,1.155
TEncBinCABAC,1.155
initEstData,1.155
TEncBinCABACCounter,1.011
TComDataCU,0.866
TComLoopFilter,0.361
TComSampleAdaptiveOffset,0.289
