Function	Allocation/Deallocation Delta	Allocation Size	Deallocation Size	Allocations	Module
vvenc::EncAdaptiveLoopFilter::init	105180719.000000	210361438.000000	105180719.000000	1044	vvencFFapp
vvenc::PelStorage::create	50370368.000000	86991744.000000	36621376.000000	68	vvencFFapp
vvenc::BestEncInfoCache::init	48940416.000000	48940416.000000		1	vvencFFapp
vvenc::CodingStructure::createCoeffs	15022464.000000	30044928.000000	15022464.000000	1296	vvencFFapp
vvenc::detail::aligned_malloc<short>	13586576.000000	27173152.000000	13586576.000000	1960	vvencFFapp
vvenc::BestEncInfoCache::create	11572368.000000	23144736.000000	11572368.000000	44468	vvencFFapp
vvenc::CodingStructure::createInternals	6917952.000000	7615104.000000	697152.000000	698	vvencFFapp
EncApp::encode	6220800.000000	6220800.000000		3	vvencFFapp
vvenc::CodingStructure::allocateVectorsAtPicLevel	6220800.000000	6220800.000000		4	vvencFFapp
vvenc::CodingStructure::createTempBuffers	5006592.000000	10013184.000000	5006592.000000	1616	vvencFFapp
vvenc::QuantRDOQ::xInitScalingList	4643712.000000	9287424.000000	4643712.000000	3312	vvencFFapp
vvenc::Quant::xInitScalingList	4640256.000000	9280512.000000	4640256.000000	6192	vvencFFapp
vvenc::EncSlice::init	4252029.000000	8504058.000000	4252029.000000	830	vvencFFapp
vvenc::CodingStructure::addCU	3315944.000000	3315944.000000		8819	vvencFFapp
vvenc::InterPredInterpolation::init	2423168.000000	4846336.000000	2423168.000000	122	vvencFFapp
vvenc::QuantRDOQ2::xInitScalingList	2320128.000000	4640256.000000	2320128.000000	3096	vvencFFapp
vvenc::EncGOP::init	1916846.000000	3833692.000000	1916846.000000	4	vvencFFapp
vvenc::CodingStructure::addTU	1591920.000000	1591920.000000		9045	vvencFFapp
vvenc::detail::aligned_malloc<vvenc::LoopFilterParam>	1555200.000000	3110400.000000	1555200.000000	4	vvencFFapp
vvenc::CacheBlkInfoCtrl::create	1530900.000000	3061800.000000	1530900.000000	36450	vvencFFapp
vvenc::EncLib::initPass	1335776.000000	2671136.000000	1335360.000000	13	vvencFFapp
vvenc::DQIntern::TUParameters::TUParameters	1154560.000000	2309120.000000	1154560.000000	184	vvencFFapp
vvenc::DepQuant::DepQuant	564136.000000	1128272.000000	564136.000000	2	vvencFFapp
vvenc::AdaptiveLoopFilter::create	564030.000000	1128060.000000	564030.000000	1078	vvencFFapp
vvenc::InterSearch::predInterSearch	465120.000000	465120.000000		4845	vvencFFapp
vvenc::ScanOrderRom::initGeoTemplate	301568.000000	301568.000000		13	vvencFFapp
vvenc::TrQuant::init	260248.000000	520496.000000	260248.000000	2	vvencFFapp
